wavelength,Intensity,Uncertainty
4985.09,6.95E-14,4.48E-16
4987.84,5.92E-14,4.11E-16
4990.59,4.87E-14,3.71E-16
4993.34,4.15E-14,3.41E-16
4996.09,3.75E-14,3.24E-16
4998.84,3.80E-14,3.25E-16
5001.59,4.22E-14,3.43E-16
5004.34,5.05E-14,3.75E-16
5007.09,6.71E-14,4.36E-16
5009.84,9.29E-14,5.19E-16
5012.59,1.27E-13,6.19E-16
5015.34,1.62E-13,7.13E-16
5018.09,2.04E-13,8.17E-16
5020.84,2.37E-13,8.95E-16
5023.59,2.55E-13,9.37E-16
5026.34,2.49E-13,9.23E-16
5029.09,2.20E-13,8.58E-16
5031.84,1.86E-13,7.77E-16
5034.59,1.53E-13,6.92E-16
5037.34,1.19E-13,6.00E-16
5040.09,8.62E-14,5.02E-16
5042.84,6.11E-14,4.17E-16
5045.59,4.42E-14,3.51E-16
5048.34,3.40E-14,3.06E-16
5051.09,2.50E-14,2.62E-16
5053.84,1.97E-14,2.32E-16
5056.59,1.68E-14,2.14E-16
5059.34,1.47E-14,2.00E-16
5062.09,1.36E-14,1.92E-16
5064.84,1.32E-14,1.89E-16
5067.59,1.31E-14,1.88E-16
5070.34,1.31E-14,1.88E-16
5073.09,1.32E-14,1.89E-16
5075.84,1.30E-14,1.88E-16
5078.59,1.31E-14,1.89E-16
5081.34,1.32E-14,1.90E-16
5084.09,1.30E-14,1.88E-16
5086.84,1.26E-14,1.84E-16
5089.59,1.29E-14,1.86E-16
5092.34,1.26E-14,1.85E-16
5095.09,1.22E-14,1.81E-16
5097.84,1.25E-14,1.84E-16
5100.59,1.20E-14,1.80E-16
5103.34,1.22E-14,1.82E-16
5106.09,1.20E-14,1.80E-16
5108.84,1.23E-14,1.82E-16
5111.59,1.24E-14,1.83E-16
5114.34,1.26E-14,1.84E-16
5117.09,1.25E-14,1.84E-16
5119.84,1.24E-14,1.83E-16
5122.59,1.22E-14,1.82E-16
5125.34,1.22E-14,1.81E-16
5128.09,1.22E-14,1.82E-16
5130.84,1.23E-14,1.82E-16
5133.59,1.25E-14,1.83E-16
5136.34,1.26E-14,1.84E-16
5139.09,1.26E-14,1.84E-16
5141.84,1.27E-14,1.85E-16
5144.59,1.25E-14,1.83E-16
5147.34,1.24E-14,1.83E-16
5150.09,1.26E-14,1.85E-16
5152.84,1.27E-14,1.85E-16
5155.59,1.30E-14,1.87E-16
5158.34,1.30E-14,1.87E-16
5161.09,1.33E-14,1.89E-16
5163.84,1.35E-14,1.91E-16
5166.59,1.35E-14,1.90E-16
5169.34,1.33E-14,1.89E-16
5172.09,1.38E-14,1.93E-16
5174.84,1.36E-14,1.91E-16
5177.59,1.40E-14,1.94E-16
5180.34,1.39E-14,1.93E-16
5183.09,1.38E-14,1.92E-16
5185.84,1.34E-14,1.89E-16
5188.59,1.27E-14,1.84E-16
5191.34,1.21E-14,1.79E-16
5194.09,1.18E-14,1.77E-16
5196.84,1.21E-14,1.80E-16
5199.59,1.24E-14,1.82E-16
5202.34,1.29E-14,1.85E-16
5205.09,1.31E-14,1.87E-16
5207.84,1.31E-14,1.87E-16
5210.59,1.37E-14,1.91E-16
5213.34,1.46E-14,1.97E-16
5216.09,1.55E-14,2.03E-16
5218.84,1.65E-14,2.10E-16
5221.59,1.67E-14,2.11E-16
5224.34,1.63E-14,2.09E-16
5227.09,1.53E-14,2.02E-16
5229.84,1.41E-14,1.93E-16
5232.59,1.36E-14,1.90E-16
5235.34,1.34E-14,1.89E-16
5238.09,1.32E-14,1.88E-16
5240.84,1.34E-14,1.89E-16
5243.59,1.31E-14,1.87E-16
5246.34,1.28E-14,1.85E-16
5249.09,1.27E-14,1.84E-16
5251.84,1.24E-14,1.82E-16
5254.59,1.33E-14,1.88E-16
5257.34,1.32E-14,1.88E-16
5260.09,1.35E-14,1.90E-16
5262.84,1.37E-14,1.91E-16
5265.59,1.41E-14,1.94E-16
5268.34,1.40E-14,1.93E-16
5271.09,1.35E-14,1.89E-16
5273.84,1.36E-14,1.90E-16
5276.59,1.40E-14,1.93E-16
5279.34,1.42E-14,1.95E-16
5282.09,1.40E-14,1.93E-16
5284.84,1.36E-14,1.91E-16
5287.59,1.32E-14,1.88E-16
5290.34,1.30E-14,1.86E-16
5293.09,1.35E-14,1.90E-16
5295.84,1.40E-14,1.93E-16
5298.59,1.44E-14,1.97E-16
5301.34,1.44E-14,1.96E-16
5304.09,1.48E-14,1.99E-16
5306.84,1.50E-14,2.00E-16
5309.59,1.52E-14,2.02E-16
5312.34,1.59E-14,2.06E-16
5315.09,1.56E-14,2.05E-16
5317.84,1.56E-14,2.05E-16
5320.59,1.52E-14,2.02E-16
5323.34,1.52E-14,2.02E-16
5326.09,1.54E-14,2.03E-16
5328.84,1.57E-14,2.05E-16
5331.59,1.57E-14,2.05E-16
5334.34,1.57E-14,2.05E-16
5337.09,1.54E-14,2.03E-16
5339.84,1.52E-14,2.02E-16
5342.59,1.52E-14,2.02E-16
5345.34,1.47E-14,1.98E-16
5348.09,1.44E-14,1.96E-16
5350.84,1.40E-14,1.93E-16
5353.59,1.40E-14,1.94E-16
5356.34,1.45E-14,1.97E-16
5359.09,1.42E-14,1.95E-16
5361.84,1.42E-14,1.94E-16
5364.59,1.44E-14,1.96E-16
5367.34,1.42E-14,1.94E-16
5370.09,1.41E-14,1.93E-16
5372.84,1.42E-14,1.95E-16
5375.59,1.43E-14,1.95E-16
5378.34,1.45E-14,1.96E-16
5381.09,1.49E-14,1.99E-16
5383.84,1.46E-14,1.97E-16
5386.59,1.45E-14,1.96E-16
5389.34,1.39E-14,1.92E-16
5392.09,1.35E-14,1.89E-16
5394.84,1.35E-14,1.89E-16
5397.59,1.36E-14,1.89E-16
5400.34,1.40E-14,1.92E-16
5403.09,1.40E-14,1.92E-16
5405.84,1.40E-14,1.92E-16
5408.59,1.40E-14,1.92E-16
5411.34,1.37E-14,1.90E-16
5414.09,1.34E-14,1.88E-16
5416.84,1.35E-14,1.88E-16
5419.59,1.36E-14,1.89E-16
5422.34,1.35E-14,1.88E-16
5425.09,1.34E-14,1.88E-16
5427.84,1.34E-14,1.88E-16
5430.59,1.35E-14,1.88E-16
5433.34,1.38E-14,1.90E-16
5436.09,1.40E-14,1.92E-16
5438.84,1.41E-14,1.93E-16
5441.59,1.43E-14,1.94E-16
5444.34,1.45E-14,1.96E-16
5447.09,1.44E-14,1.95E-16
5449.84,1.40E-14,1.91E-16
5452.59,1.39E-14,1.91E-16
5455.34,1.35E-14,1.88E-16
5458.09,1.35E-14,1.89E-16
5460.84,1.37E-14,1.90E-16
5463.59,1.39E-14,1.91E-16
5466.34,1.36E-14,1.90E-16
5469.09,1.35E-14,1.89E-16
5471.84,1.35E-14,1.89E-16
5474.59,1.32E-14,1.87E-16
5477.34,1.30E-14,1.85E-16
5480.09,1.32E-14,1.87E-16
5482.84,1.33E-14,1.87E-16
5485.59,1.32E-14,1.87E-16
5488.34,1.33E-14,1.87E-16
5491.09,1.33E-14,1.87E-16
5493.84,1.31E-14,1.86E-16
5496.59,1.31E-14,1.85E-16
5499.34,1.30E-14,1.85E-16
5502.09,1.28E-14,1.84E-16
5504.84,1.29E-14,1.84E-16
5507.59,1.30E-14,1.85E-16
5510.34,1.29E-14,1.84E-16
5513.09,1.29E-14,1.84E-16
5515.84,1.32E-14,1.86E-16
5518.59,1.32E-14,1.86E-16
5521.34,1.31E-14,1.86E-16
5524.09,1.31E-14,1.85E-16
5526.84,1.30E-14,1.85E-16
5529.59,1.31E-14,1.85E-16
5532.34,1.30E-14,1.84E-16
5535.09,1.29E-14,1.84E-16
5537.84,1.31E-14,1.85E-16
5540.59,1.33E-14,1.87E-16
5543.34,1.36E-14,1.89E-16
5546.09,1.39E-14,1.91E-16
5548.84,1.38E-14,1.90E-16
5551.59,1.37E-14,1.89E-16
5554.34,1.36E-14,1.89E-16
5557.09,1.36E-14,1.89E-16
5559.84,1.37E-14,1.90E-16
5562.59,1.36E-14,1.89E-16
5565.34,1.35E-14,1.88E-16
5568.09,1.35E-14,1.88E-16
5570.84,1.32E-14,1.86E-16
5573.59,1.33E-14,1.88E-16
5576.34,1.31E-14,1.90E-16
5579.09,1.30E-14,1.94E-16
5581.84,1.28E-14,1.95E-16
5584.59,1.27E-14,1.90E-16
5587.34,1.29E-14,1.87E-16
5590.09,1.27E-14,1.83E-16
5592.84,1.27E-14,1.83E-16
5595.59,1.29E-14,1.84E-16
5598.34,1.30E-14,1.85E-16
5601.09,1.29E-14,1.84E-16
5603.84,1.29E-14,1.84E-16
5606.59,1.28E-14,1.84E-16
5609.34,1.27E-14,1.82E-16
5612.09,1.24E-14,1.81E-16
5614.84,1.22E-14,1.79E-16
5617.59,1.21E-14,1.78E-16
5620.34,1.24E-14,1.81E-16
5623.09,1.26E-14,1.82E-16
5625.84,1.27E-14,1.83E-16
5628.59,1.29E-14,1.84E-16
5631.34,1.32E-14,1.87E-16
5634.09,1.30E-14,1.85E-16
5636.84,1.32E-14,1.87E-16
5639.59,1.31E-14,1.86E-16
5642.34,1.28E-14,1.84E-16
5645.09,1.27E-14,1.84E-16
5647.84,1.29E-14,1.85E-16
5650.59,1.28E-14,1.83E-16
5653.34,1.27E-14,1.83E-16
5656.09,1.29E-14,1.85E-16
5658.84,1.29E-14,1.85E-16
5661.59,1.28E-14,1.84E-16
5664.34,1.28E-14,1.84E-16
5667.09,1.29E-14,1.85E-16
5669.84,1.28E-14,1.85E-16
5672.59,1.28E-14,1.84E-16
5675.34,1.29E-14,1.85E-16
5678.09,1.26E-14,1.83E-16
5680.84,1.25E-14,1.82E-16
5683.59,1.25E-14,1.82E-16
5686.34,1.26E-14,1.83E-16
5689.09,1.30E-14,1.86E-16
